Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2009","2009","índice","55.19","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2010","2010","índice","68.9","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2011","2011","índice","79.58","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2012","2012","índice","80.56","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2013","2013","índice","87.16","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2014","2014","índice","95.41","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2015","2015","índice","107.79","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2016","2016","índice","96.8","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2017","2017","índice","136.51","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2018","2018","índice","142.6","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","254","Aceite, nuez de palma","2019","2019","índice","144.71","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2009","2009","índice","119.6","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2010","2010","índice","115.95","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2011","2011","índice","112.35","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2012","2012","índice","102.75","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2013","2013","índice","102.75","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2014","2014","índice","102.3","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2015","2015","índice","100.27","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2016","2016","índice","97.43","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2017","2017","índice","94.76","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2018","2018","índice","92.08","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","800","Agave, fibras nep","2019","2019","índice","89.41","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2009","2009","índice","63.51","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2010","2010","índice","69.02","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2011","2011","índice","72.26","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2012","2012","índice","85.8","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2013","2013","índice","99.11","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2014","2014","índice","97","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2015","2015","índice","104.1","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2016","2016","índice","98.9","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2017","2017","índice","103.53","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2018","2018","índice","149.52","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","572","Aguacates","2019","2019","índice","179.74","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2009","2009","índice","33.22","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2010","2010","índice","32.5","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2011","2011","índice","57.03","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2012","2012","índice","74.48","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2013","2013","índice","86.05","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2014","2014","índice","83.55","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2015","2015","índice","85.14","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2016","2016","índice","131.32","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2017","2017","índice","62.09","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2018","2018","índice","94.05","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","406","Ajo","2019","2019","índice","85.7","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","328","Algodón con semilla","2009","2009","índice","87.36","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","328","Algodón con semilla","2010","2010","índice","110.22","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","328","Algodón con semilla","2011","2011","índice","118.87","Fc","Datos calculados"
